"EN","SI"
"relax","sprostite se"
"participate","sodelujejo"
"of","od"
"behave","obnašati se"
"strike","stavka"
"remind","opomni"
"review","pregled"
"approach","pristop"
"employ","zaposliti"
"restore","obnoviti"
"wash","pranje"
"observe","opazujte"
"combine","kombinirati"
"insist","vztrajati"
"issue","težava"
"ride","vožnja"
"constitute","predstavljajo"
"jump","skok"
"cook","kuhati"
"switch","stikalo"
"train","vlak"
"cry","jokati"
"clean","čisto"
"invest","vlagati"
"step","korak"
"limit","meja"
"illustrate","ponazoriti"
"own","lastno"
"tackle","reševanje"
"challenge","izziv"
"view","pogled"
"withdraw","dvigniti"
"possess","posedovati"
"communicate","komunicirati"
"climb","vzpon"
"gather","zbrati"
"separate","ločeno"
"preserve","ohraniti"
"implement","izvajati"
"shift","premik"
"resolve","rešiti"
"reject","zavrni"
"inform","obvestiti"
"imply","pomenijo"
"acknowledge","priznati"
"conclude","zaključiti"
"shoot","ustrelil"
"guarantee","garancija"
"comply","izpolnjujejo"
"borrow","sposoditi si"
"question","vprašanje"
"promise","obljubi"
"enhance","izboljšati"
"monitor","monitor"
"risk","tveganje"
"permit","dovoljenje"
"purchase","nakup"
"propose","predlagati"
"celebrate","praznovati"
"charge","napolniti"
"research","raziskave"
"aim","meriti"
"accommodate","prilagoditi"
"phone","telefon"
"waste","odpadki"
"dance","ples"
"wake","zbudi se"
"pray","moli"
"disappear","izginejo"
"telephone","telefon"
"predict","napovedovati"
"score","rezultat"
"slip","zdrs"
"commit","zavezati"
"complain","pritožba"
"detect","zaznati"
"exclude","izključi"
"excuse","izgovor"
"interpret","razlagati"
"publish","objavi"
"link","povezava"
"forgive","odpusti"
"negotiate","pogajati se"
"analyse","analizirati"
"name","ime"
"stretch","raztegniti"
"upset","razburjen"
"qualify","kvalificirati"
"damage","škodo"
"launch","kosilo"
"paint","barva"
"specify","navedite"
"grant","nepovratna sredstva"
"lend","posojati"
"construct","konstruirati"
"react","reagirati"
"organise","organizirati"
"deserve","zaslužijo"
"head","glavo"
"direct","neposredno"
"land","zemljišča"
"conduct","ravnanje"
"sustain","vzdrževati"
"submit","oddajte"
"consist","sestavljen"
"blow","udarec"
"mix","premešajte"
"guide","vodnik"
"owe","dolgujem"
"convince","prepričati"
"practise","praksa"
"strengthen","okrepiti"
"knock","potrkajte"
"invite","povabi"
"burn","opeklina"
"abandon","opustiti"
"reply","odgovor"
"shake","pretresemo"
"fix","popraviti"
"pretend","pretvarjati se"
"consult","posvetujte se"
"divide","razdeli"
"engage","vključiti"
"search","Iskanje"
"fulfil","izpolni"
"exploit","izkoriščati"
"rule","pravilo"
"process","proces"
"fetch","prinesi"
"convey","posredovati"
"shed","lopa"
"market","trgu"
"fancy","fancy"
"smoke","dim"
"smell","vonj"
"thrust","potisk"
"incorporate","vključiti"
"restrict","omeji"
"warn","opozori"
"eliminate","odpraviti"
"kiss","poljub"
"announce","objavi"
"evaluate","oceniti"
"convert","Pretvorba"
"retire","upokojiti"
"adjust","prilagodite"
"ease","lahkotnost"
"breathe","dihati"
"pour","nalij"
"knit","plesti"
"exceed","preseči"
"back","nazaj"
"approve","odobriti"
"trace","sled"
"register","register"
"calculate","izračunajte"
"occupy","zasedejo"
"stimulate","spodbujajo"
"print","natisni"
"stress","stres"
"appoint","imenovati"
"free","prost"
"interfere","motijo"
"object","predmet"
"boost","pospešek"
"smile","nasmeh"
"facilitate","olajšati"
"lack","pomanjkanje"
"cease","prenehati"
"enforce","uveljaviti"
"adapt","prilagoditi"
"tie","kravata"
"quote","kvota"
"dominate","prevladujejo"
"pop","pop"
"please","prosim"
"design","oblikovanje"
"intervene","posredovati"
"yield","donos"
"resign","odstopiti"
"spell","urok"
"shout","kričati"
"stir","premešajte"
"emphasise","poudariti"
"spare","rezervne"
"estimate","oceno"
"kick","brcnite"
"regret","obžalovanje"
"offset","odmik"
"list","seznam"
"dress","obleko"
"declare","izjavi"
"assure","zagotovim"
"derive","izpeljati"
"access","dostop"
"delay","zamuda"
"clarify","razjasniti"
"copy","kopirati"
"favour","naklonjenost"
"dig","kopati"
"respect","spoštovanje"
"hand","roka"
"capture","zajemanje"
"reinforce","okrepiti"
"transform","preoblikovati"
"perceive","zaznati"
"function","funkcijo"
"fuck","hudiča"
"threaten","grozi"
"quit","prenehati"
"accompany","spremljati"
"swim","plavati"
"fund","sklad"
"pack","paket"
"correct","pravilno"
"cancel","prekliči"
"sail","jadra"
"compensate","nadomestilo"
"steal","ukrasti"
"undermine","spodkopati"
"range","obseg"
"feature","funkcija"
"oppose","nasprotovati"
"locate","poiščite"
"hurry","pohiti"
"tap","tapnite"
"broadcast","oddaja"
"sue","tožiti"
"store","trgovina"
"trade","trgovina"
"bid","ponudba"
"organize","organizirati"
"light","svetloba"
"slow","počasi"
"concern","skrb"
"dismiss","odpustiti"
"swear","Preklinjati"
"highlight","poudarite"
"repair","popravilo"
"conform","skladen"
"amount","znesek"
"attach","pritrdite"
"dream","sanje"
"rush","hitenje"
"absorb","absorbirajo"
"sink","umivalnik"
"grab","zgrabi"
"calm","mirno"
"protest","protest"
"balance","ravnovesje"
"beg","prositi"
"install","namestite"
"advance","vnaprej"
"fire","ogenj"
"block","blok"
"aid","pomoč"
"flow","pretok"
"drag","povlecite"
"correspond","ustrezajo"
"pose","predstavljajo"
"admire","občudovati"
"relieve","razbremeniti"
"reverse","vzvratno"
"time","čas"
"combat","boj"
"integrate","vključiti"
"disagree","ne strinjam se"
"connect","povezati"
"update","nadgradnja"
"modify","spremeniti"
"anticipate","predvideti"
"tax","davek"
"opt","opt"
"stare","buljiti"
"spot","spot"
"command","ukaz"
"obey","ubogati"
"house","hiša"
"extract","izvleček"
"slide","zdrs"
"counter","števec"
"resume","Nadaljuj"
"grasp","prijem"
"swing","gugalnica"
"render","upodabljanje"
"speed","hitrost"
"confront","soočiti"
"ban","prepoved"
"wipe","obrišite"
"double","dvojno"
"comprise","obsegajo"
"witness","priča"
"plant","rastlina"
"breed","pasme"
"assert","trditi"
"disclose","razkriti"
"defeat","poraz"
"squeeze","stisnite"
"taste","okus"
"bind","vezati"
"harm","škodo"
"encounter","srečanje"
"request","prošnja"
"struggle","boj"
"hire","najem"
"conceal","prikriti"
"recruit","novačiti"
"co","co"
"wander","tavajo"
"emphasize","poudariti"
"weigh","tehtati"
"coincide","sovpadajo"
"bend","upognite se"
"regulate","urejajo"
"rescue","reševanje"
"entertain","zabavati"
"forecast","napoved"
"inspect","pregledati"
"export","izvoz"
"urge","nagona"
"induce","inducirati"
"lock","zaklepanje"
"exhibit","razstaviti"
"exchange","izmenjava"
"warm","toplo"
"confess","priznaj"
"tolerate","prenašati"
"mount","nosilec"
"brush","krtačo"
"reproduce","razmnožujejo"
"undergo","opraviti"
"impress","navdušiti"
"figure","slika"
"decline","upadanje"
"rub","vtrite"
"cater","poskrbi"
"tour","ogled"
"distribute","distribuirati"
"sense","smisel"
"repay","odplačati"
"regain","ponovno pridobiti"
"minimise","minimizirati"
"halt","ustavi"
"shape","obliko"
"cool","kul"
"disturb","moti"
"bite","ugriz"
"progress","napredek"
"devote","posvetiti"
"provoke","izzvati"
"dispose","razpolagati"
"translate","prevesti"
"reassure","pomirite"
"contemplate","razmišljati"
"alert","opozorilo"
"service","storitev"
"interact","interakcijo"
"heat","toplota"
"devise","zasnovati"
"govern","vladati"
"apologise","opraviči se"
"expose","izpostavi"
"embrace","objem"
"comfort","udobje"
"seize","zaseči"
"melt","stopi"
"supplement","dodatek"
"lean","vitka"
"exert","izvajati"
"beware","pozor"
"resemble","spominjajo"
"abolish","ukiniti"
"wed","sre"
"arrest","aretirati"
"crack","razpoka"
"suppress","zatreti"
"guard","stražar"
"surprise","presenečenje"
"hesitate","oklevajte"
"load","obremenitev"
"swallow","pogoltniti"
"initiate","inicirati"
"float","float"
"effect","učinek"
"manipulate","manipulirati"
"deter","odvrniti"
"associate","sodelavec"
"administer","dajati"
"murder","umor"
"persist","vztrajajo"
"greet","pozdravi"
"tear","trgati"
"hunt","lov"
"spoil","pokvariti"
"line","črta"
"bless","blagoslovi"
"ascertain","ugotoviti"
"penetrate","prodreti"
"multiply","pomnožite"
"merge","združiti"
"coach","trener"
"drain","odtok"
"suffice","zadostuje"
"presume","domnevati"
"fish","ribe"
"shop","trgovina"
"race","dirka"
"honour","čast"
"freeze","zamrzne"
"cure","zdravi"
"revive","oživiti"
"swap","zamenjati"
"endure","prenašati"
"chase","lov"
"consume","porabijo"
"insert","vstavi"
"anger","jeza"
"await","čakati"
"minister","minister"
"drift","odnašanje"
"substitute","nadomestek"
"stem","steblo"
"surrender","predaja"
"wind","veter"
"contract","pogodbe"
"machine","stroj"
"differentiate","razlikovati"
"advertise","oglaševati"
"reconcile","uskladiti"
"project","projekt"
"co","co"
"snap","snap"
"damn","prekleto"
"bake","speči"
"top","vrh"
"fold","krat"
"concede","priznati"
"renew","obnovi"
"formulate","formulirati"
"confuse","zmede"
"maximise","maksimirati"
"sweep","pometanje"
"cheer","navijati"
"steer","usmerjati"
"base","osnova"
"cf","prim"
"indulge","prepustite se"
"decrease","zmanjšanje"
"reserve","rezerve"
"host","gostitelj"
"evolve","razvijati"
"foster","negovati"
"discourage","malodušje"
"curb","robnik"
"allocate","dodeliti"
"supervise","nadzirati"
"fade","zbledi"
"endorse","potrditi"
"condemn","obsoditi"
"book","knjigo"
"tip","nasvet"
"reform","reforma"
"complement","dopolnilo"
"punish","kaznovati"
"bang","pok"
"outline","oris"
"diminish","zmanjšati"
"prevail","prevladajo"
"leap","preskok"
"wrap","zaviti"
"compromise","kompromis"
"collapse","propad"
"safeguard","zaščitni ukrep"
"inhibit","zavirati"
"scream","krik"
"date","datum"
"delete","izbriši"
"attain","doseči"
"dislike","ne maram"
"conceive","zanositi"
"shine","sijaj"
"dictate","narekujejo"
"unite","združiti"
"import","uvoz"
"spring","pomlad"
"rebuild","obnoviti"
"flourish","cvetijo"
"criticise","kritizirati"
"boil","zavremo"
"flee","beži"
"commence","začeti"
"praise","pohvala"
"draft","osnutek"
"park","parkirati"
"discriminate","diskriminirati"
"track","skladbo"
"enclose","priložiti"
"interview","intervju"
"tighten","zategnite"
"price","cena"
"colour","barva"
"venture","podviga"
"speculate","špekulirati"
"depart","odhod"
"bury","pokopljemo"
"interrupt","prekiniti"
"disguise","preobleko"
"elect","izvoljen"
"withstand","vzdržati"
"discharge","praznjenje"
"restrain","zadrževati"
"thrive","uspevajo"
"echo","odmev"
"divert","preusmeritev"
"fry","ocvrt"
"dissolve","raztopi"
"edit","Uredi"
"assemble","sestaviti"
"ruin","propad"
"accelerate","pospeši"
"envisage","predvideti"
"congratulate","čestitam"
"retrieve","pridobiti"
"descend","spustite se"
"suspend","začasno ustavi"
"experiment","poskus"
"ship","ladja"
"frighten","prestrašiti"
"fool","norec"
"inspire","navdihujejo"
"heal","ozdravi"
"master","mojster"
"terminate","prenehati"
"amend","spremeniti"
"scratch","praska"
"embark","vkrcati se"
"entail","pomenijo"
"execute","izvršiti"
"consolidate","utrditi"
"cash","gotovino"
"round","okrogla"
"isolate","izolirati"
"warrant","nalog"
"signal","signal"
"weaken","oslabiti"
"pin","pin"
"march","marec"
"desire","želja"
"widen","razširiti"
"level","ravni"
"chat","klepet"
"board","deska"
"contend","trditi"
"invent","izumiti"
"resource","vir"
"manufacture","proizvodnjo"
"seal","pečat"
"reconsider","premisliti"
"suck","zanič"
"picture","slika"
"crash","strmoglavljenje"
"transport","prevoz"
"plug","vtič"
"assign","dodeliti"
"enquire","povprašajte"
"campaign","kampanja"
"trap","past"
"surround","obkrožiti"
"debate","razprava"
"upgrade","nadgradnja"
"decorate","okrasite"
"confer","se posvetujejo"
"accumulate","kopičijo"
"profit","dobiček"
"file","mapa"
"inherit","podedovati"
"disrupt","motijo"
"contrast","kontrast"
"chuck","chuck"
"tick","kljukico"
"plead","tožba"
"dip","dip"
"subscribe","naročite se"
"educate","izobraževati"
"divorce","ločitev"
"spin","vrtenje"
"row","vrstici"
"obscure","nejasna"
"creep","lezenje"
"interest","obresti"
"overlook","spregledati"
"twist","zasuk"
"mature","zrel"
"blend","mešanica"
"revise","revidirati"
"attribute","atribut"
"explode","eksplodirajo"
"dwell","prebivati"
"drown","utopiti"
"alleviate","ublažiti"
"strip","trak"
"grade","razred"
"revert","povrniti"
"value","vrednost"
"award","nagrada"
"strive","prizadevati si"
"notify","obvestiti"
"remedy","pravno sredstvo"
"accuse","obtožiti"
"instruct","poučiti"
"spill","razlitje"
"strain","obremenitev"
"comprehend","razumeti"
"soften","zmehčajte"
"postpone","odložiti"
"wave","val"
"bounce","odbijanje"
"stock","zaloga"
"position","položaj"
"insure","zavarovati"
"adhere","držijo"
"cling","drži se"
"summon","priklicati"
"pause","pavza"
"empty","prazno"
"classify","razvrsti"
