EN	SI
What's that called in Slovene?	Kako se temu reče po slovenskjo?
What does that word mean in English?	Kaj ta beseda pomeni v angleščini?
How do you say "thanks" in Slovene?	Kako v slovenščini rečete "hvala"?
What is this?	Kaj je to?
My Slovene is bad	Moja slovenščina je slaba
Don't worry!	Ne skrbite!
I agree with you	Strinjam se z vami
Is that right?	Je prav tako?
Is that wrong?	Je to narobe?
What should I say?	Kaj naj rečem?
I just need to practice	Moram vaditi
Your Slovene is good	Vaša slovenščina je dobra
I have an accent	Imam naglas
You don't have an accent	Nimate naglasa
Asking for Directions	Prošnje za pomoč in smer
Excuse me! (before asking someone)	Vas lahko zmotim?
I'm lost	Izgubil sem se
Can you help me?	Mi lahko pomagate?
Can I help you?	Vam lahko pomagam?
I'm not from here	Nisem od tu
How can I get to (this place, this city)?	Kako lahko pridem do tega (kraja, mesta)
Go straight	Pojdite naravnost
Then	nato
Turn left	zavijte levo
Turn right	zavijte desno
Can you show me?	Mi lahko pokažete?
I can show you!	Lahko vam pokažem!
Come with me!	Pojdite z menoj!
How long does it take to get there?	Koliko časa potrebujem do tam?
Downtown (city center)	Mestno središče
Historic center (old city)	zgodovinsko središče (staro mesto)
It's near here	To je blizu
It's far from here	To je daleč
Is it within walking distance?	Grem lahko peš do tja?
I'm looking for Mr. Smith	Iščem G. Smitha
One moment please!	Samo trenutek!
Hold on please! (when on the phone)	Samo trenutek prosim! (telefonski pogovor)
Airport	Letališče
Bus station	Avtobusna postaja
Train station	Želežniška postaja
Taxi	Taksi
Near	Blizu
Far	Daleč
Emergency Survival Phrases	Fraze, ki se uporabljajo v nujnih primerih in za preživetje
Help!	Na pomoč!
Stop!	Stoj!
Fire!	Ogenj!
Thief!	Tat!
Run!	Teci!
Watch out! (or: be alert!)	Pazi!
Call the police!	Pokličite policijo!
Call a doctor!	Pokličite zdravnika
Call the ambulance!	Pokličite reševalno vozilo!
Are you okay?	Ste v redu!
I feel sick	Bolan sem
I need a doctor	Potrebujem zdravnika
Accident	Nesreča
Food poisoning	Zastrupitev z hrano
Where is the closest pharmacy?	Kje je najbližja lekarna"
It hurts here	Tu me bnoli
It's urgent!	Nujno je
Calm down!	Pomirite se!
You will be okay!	Z vami je vse v redu!
Can you help me?	Mi lahko pomagate?
Can I help you?	Vam lahko vam pomagam?
Hotel Restaurant Travel Phrases	Fraze, ki se uporabljajo v hotelih in na potovanju
I have a reservation (for a room)	Imam rezervacijo
Do you have rooms available?	Imate kako prosto sobo?
With shower / With bathroom	z tušem/kopalnico
I would like a non-smoking room	Želel bi sobo za nekadilce
What is the charge per night?	Kakšna je cena za eno noč
I'm here on business /on vacation	Tu sem poslovno/ na počitnicah
Dirty	Umazan
Clean	Čist
Do you accept credit cards?	Ali sprejemate kreditne karte?
I'd like to rent a car	Želel bi najeti rent a car
How much will it cost?	Koliko stane?
A table for (one / two) please!	Mizo za (enega/dva) prosim!
Is this seat taken?	Je ta stol zaseden?
I'm vegetarian	Sem vegetarijanec
I don't eat pork	Ne jem svinjine
I don't drink alcohol	Ne pijem alkohola
What's the name of this dish?	Kako se imenuje ta jed?
Waiter / waitress!	Natakar/natakarica!
Can we have the check please?	Lahko dobim račun prosim?
It is very delicious!	To je zelo okusno
I don't like it	Tega ne maram
Shopping Expressions	Trgovski izrazi
How much is this?	Koliko stane?
I'm just looking	Samo gledam
I don't have change	Nimam drobiža
This is too expensive	To je predrago
Expensive	Drago
Cheap	Poceni
Daily Expressions	Naključni izrazi
What time is it?	Koliko je ura?
It's 3 o'clock	Ura je tri
Give me this!	Dajte mi to
Are you sure?	Ali ste prepričani?
Take this! (when giving something)	Vzemite
It's cold (weather)	Zelo mrzlo je
It's hot (weather)	Vroče je
Do you like it?	Vam je všeč?
I really like it!	Zelo mi je všeč!
I'm hungry	Lačen sem
I'm thirsty	Žejen sem
He is funny	Zabaven je
In The Morning	Zjutraj
In the evening	Zvečer
At Night	Ponoči
Hurry up!	Pohitite!
Cuss Words (polite)	
This is nonsense! (or: this is craziness)	To je neumnost
My God! (to show amazement)	Moj bog!
Are you crazy?	Si zmešan?
Get lost! (or: go away!)	Pojdi stran!
Leave me alone!	Pusti me pri miru!
I'm not interested!	Ne zanima me!
Writing a Letter	
My trip was very nice	Moje potovanje je bilo zelo prijetno
The culture and people were very interesting	Kultura in ljudje so zelo zanimivi
I had a good time with you	z vami sem se imel zelo lepo
Don't forget to write me back from time to time	Ne pozabi mi občasno pisati
Short Expressions and words	Kratke besede in izrazi
Good	Dobro
Bad	Slabo
So-so (or: not bad not good)	Povprečno _ which menas literary average, there is no equvalent expression for so-so in slov. lang.
Big	Veliko
Small	Majhno
Today	Danes
Now	Sedaj
Tomorrow	Jutri
Yesterday	Včeraj
Yes	Da
No	Ne
Fast	Hitro
Slow	Počasi
Hot	Vroče
Cold	Mrzlo
This	To
That	Ono
Here	Tu
There	Tam
Me (ie. Who did this? - Me)	Jaz
You	Ti
Him	On
Her	Ona
Us	Mi
Them	Oni
Really?	Resnično?
Look!	Poglej!
What?	Kaj?
Where?	Kje?
Who?	Kdo?
How?	Kako?
When?	Kdaj?
Why?	Zakaj?
Zero	Nič
One	Ena
Two	Dva
Three	Tri
Four	Štiri
Five	Pet
Six	Šest
Seven	Sedem
Eight	Osem
Nine	Devet
Ten	Deset
adjectives	pridevniki
a green tree	zeleno drevo
a tall building	visoka stavba
a very old man	zelo star moški
the old red house	stara rdeča hiša
a very nice friend	zelo prijazen prijatelj
colors	barve
black	črna
blue	modra
brown	rjava
gray	siva
green	zelena
orange	oranžna
purple	vijolična
red	rdeča
white	bela
yellow	rumena
sizes	velikosti
big	velik
deep	globok
long	dolgo
narrow	ozko
short	kratko
small	majhno
tall	visoko
thick	debel
thin	tanko
wide	široko
shapes	oblike
circular	okroglo
straight	ravno
square	kvadratno
triangular	trikotno
tastes	okusi
bitter	grenko
fresh	svež
salty	slan
sour	kisel
spicy	začinjeno
sweet	sladko
qualities	lastnosti
bad	slab
clean	čisto
dark	temen
difficult	težek
dirty	umazan
dry	suho
easy	enostavno
empty	prazno
expensive	drag
fast	hiter
foreign	tuje
full	celotno
good	dober
hard	trdo
heavy	težko
inexpensive	poceni
light	svetlo
local	lokalno
new	nov
noisy	hrupno
old	staro
powerful	močno
quiet	tiho
correct	pravilno
slow	počasen
soft	mehek
very	zelo
weak	šibko
wet	mokro
wrong	napačno
young	mlado
quantities	količine
few	malo
little	malo
many	veliko
much	veliko
part	del
some	nekaj
a few	nekaj
whole	celotno
numbers	števniki
one	ena
two	dva
three	tri
four	štiri
five	pet
six	šest
seven	sedem
eight	osem
nine	devet
ten	deset
eleven	enajst
twelve	dvanajst
thirteen	trinajst
fourteen	štirinajst
fifteen	petnajst
sixteen	šestnajst
seventeen	sedemnajst
eighteen	osemnajst
nineteen	devetnajst
twenty	dvajset
hundred	sto
one thousand	tisoč
million	milijon
Ordinal Numbers	Vrstilni števniki
first	prvi
second	drugi
third	tretji
fourth	četrti
fifth	peti
sixth	šesti
seventh	sedmi
eighth	osmi
ninth	deveti
tenth	deseti
eleventh	enajsti
twelfth	dvanajsti
thirteenth	trinajsti
fourteenth	štirinajsti
fifteenth	petnajsti
sixteenth	šestnajsti
seventeenth	sedemnajsti
eighteenth	osemnajsti
nineteenth	devetnajsti
twentieth	dvajseti
once	enkrat
twice	dvakrat
nouns	samostalniki
my car	moj avto
green car	zelen avto
three cars	trije avtomobili
car garage	garaža
outside the car	izven avtomobila
arm	roka
back	hrbet
cheeks	lica
chest	prsa
chin	brada
ear	uho
elbow	komolec
eye	oko
face	obraz
finger	prst
fingers	prsti
foot	stopalo
hair	lasje
hand	roka
head	glava
heart	srce
knee	koleno
leg	noga
lip	ustnica
mouth	usta
neck	vrat
nose	nos
shoulder	rama
stomach	trebuh
teeth	zobje
thigh	stegno
throat	grlo
thumb	palec
toe	nožni prst
tongue	jezik
tooth	zob
Vocabulary	Besedišče
Countries	Države
Australia	Avstralija
Cambodia	Kambodža
Canada	Kanada
China	Kitajska
Egypt	Egipt
England	Anglija
France	Francija
Germany	Nemčija
Greece	Grčija
India	Indija
Indonesia	Indonezija
Italy	Italija
Japan	Japonska
Mexico	Mehika
Morocco	Maroko
Peru	Peru
Spain	Španija
Thailand	Tajska
USA	ZDA
Languages	Jeziki
Arabic	Arabščina
Chinese	Kitajščina
English	angleščina
French	Francoščina
German	Nemščina
Greek	Grščina
Hebrew	Hebrejščina
Hindi	Hindujščina
Italian	Italijanščina
Japanese	Japonščina
Korean	Korejščina
Latin	Latinščina
Russian	Ruščina
Spanish	Španščina
Urdu	Urdujščina
Days	Dnevi
Monday	ponedeljek
Tuesday	torek
Wednesday	sreda
Thursday	četrtek
Friday	petek
Saturday	sobota
Sunday	nedelja
time	čas
hour	ura
minute	minuta
second	sekunda
colors	barve
black	črna
blue	modra
brown	rjava
gray	siva
green	zelena
orange	oranžna
purple	vijolična
red	rdeča
white	bela
yellow	rumena
sizes	velikosti
big	velik
deep	globok
long	dolg
narrow	ozek
short	kratek
small	majhen
tall	visok
thick	debel
thin	tanek
wide	širok
tastes	okusi
bitter	grenek
fresh	svež
salty	slan
sour	kisel
spicy	začinjen
sweet	sladek
qualities	lastnosti
bad	slab
clean	čist
dark	temen
difficult	težek
dirty	umazan
dry	suh
easy	enostaven
empty	prazen
expensive	drag
fast	hiter
foreign	tuj
full	poln
good	dober
hard	trd
heavy	težek
inexpensive	poceni
light	svetel
local	lokalen
new	nov
noisy	hrupen
old	star
powerful	močen
quiet	tih
correct	pravilen
slow	počasen
soft	mehek
very	zelo
weak	šibek
wet	moker
wrong	napačen
young	mlad
food	hrana
almonds	mandlji
bread	kruh
breakfast	zajtrk
butter	maslo
candy	bonboni
cheese	sir
chicken	piščanec
cumin	kumina
dessert	sladica
dinner	večerja
fish	ribe
fruit	sadje
ice cream	sladoled
lamb	jagnje
lemon	limona
lunch	kosilo
meal	obrok
meat	meso
oven	pečica
pepper	poper
plants	rastline
pork	svinjina
salad	solata
salt	sol
sandwich	sendvič
sausage	klobasa
soup	juha
sugar	sladkor
supper	večerja
turkey	puran
apple	jabolko
banana	banana
oranges	pomaranče
peaches	breskve
peanut	arašid
pears	hruške
pineapple	ananas
grapes	grozdje
strawberries	jagode
vegetables	zelenjava
carrot	korenček
corn	koruza
cucumber	kumara
garlic	česen
lettuce	zelena solata
olives	olive
onions	čebula
peppers	paprika
potatoes	krompir
pumpkin	buča
beans	fižol
tomatoes	paradižnik
alligator	aligator
alligators	aligatorji
bear	medved
bears	medvedi
bird	ptica
birds	ptice
bull	bik
bulls	biki
cat	mačka
cats	mačke
cow	krava
cows	krave
deer	srna
many deer	srne
dog	pes
dogs	psi
donkey	osel
donkeys	osli
eagle	orel
eagles	orli
elephant	slon
elephants	sloni
giraffe	žirafa
giraffes	žirafe
goat	koza
goats	koze
horse	konj
horses	konji
lion	lev
lions	levi
monkey	opica
monkeys	opice
mouse	miš
mice	miši
rabbit	zajec
rabbits	zajci
snake	kača
snakes	kače
tiger	tiger
tigers	tigri
wolf	volk
wolves	volkovi
objects	predmeti
bathroom	kopalnica
bed	postelja
bedroom	spalnica
ceiling	strop
chair	stol
clothes	oblačila
coat	plašč
cup	skodelica
desk	miza
dress	obleka
floor	tla
fork	vilice
furniture	pohištvo
glass	steklo
hat	klobuk
house	hiša
ink	črnilo
jacket	jakna
kitchen	kuhinja
knife	nož
lamp	svetilka
letter	pismo
map	zemljevid
newspaper	časopis
notebook	zvezek
pants	hlače
paper	papir
pen	pero
pencil	svinčnik
pharmacy	lekarna
picture	slika
plate	plošča
refrigerator	hladilnik
restaurant	restavracija
roof	streha
room	soba
rug	preproga
scissors	škarje
shampoo	šampon
shirt	srajca
shoes	čevlji
soap	milo
socks	nogavice
spoon	žlica
table	miza
toilet	stranišče
toothbrush	zobna ščetka
toothpaste	zobna pasta
towel	brisača
umbrella	dežnik
underwear	spodnje perilo
wall	stena
wallet	denarnica
window	okno
telephone	telefon
this	to
that	tisto
these	ti
those	tisti
Questions	
how?	kako?
what?	kaj?
who?	kdo?
why?	zakaj?
where?	kje?
different objects	različni predmeti
art	umetnost
bank	banka
beach	plaža
book	knjiga
by bicycle	s kolesom
by bus	z avtobusom
by car	z avtomobilom
by train	z vlakom
cafe	kavarna
country	država
desert	puščava
dictionary	slovar
earth	zemlja
flowers	cvetje
football	nogomet
forest	gozd
game	igra
garden	vrt
geography	geografija
history	zgodovina
house	hiša
island	otok
lake	jezero
library	knjižnica
math	matematika
moon	luna
mountain	gora
movies	filmi
music	glasba
ocean	ocean
office	pisarna
on foot	peš
player	igralec
river	reka
science	znanost
sea	morje
sky	nebo
soccer	nogomet
stars	zvezde
supermarket	veleblagovnica
swimming pool	bazen
theater	gledališče
tree	drevo
weather	vreme
bad weather	slabo vreme
cloudy	oblačno
cold	mrzlo
cool	hladno
foggy	megleno
hot	vroče
nice weather	lepo vreme
pouring	lije
rain	dež
raining	dežuje
snow	sneg
snowing	sneži
ice	led
sunny	sončno
windy	vetrovno
spring	pomlad
summer	poletje
autumn	jesen
winter	zima
people	ljudje
aunt	teta
baby	otrok
brother	brat
cousin	sestrična
daughter	hči
dentist	zobozdravnik
doctor	zdravnik
father	oče
grandfather	dedek
grandmother	babica
husband	mož
mother	mati
nephew	nečak
niece	nečakinja
nurse	medicinska sestra
policeman	policist
postman	poštar
professor	profesor
son	sin
teacher	učitelj
uncle	stric
wife	žena
Plural	Množina
my book	moja knjiga
my books	moje knjige
our daughter	naša hči
our daughters	naše hčere
I'm cold	Zebe me
we're cold	Zebe nas
his chickens	njegov piščanec
their chicken	njegovi piščanci
alligator	aligator
alligators	aligatorji
bear	medved
bears	medvedi
bird	ptič
birds	ptice
bull	bik
bulls	biki
cat	mačka
cats	mačke
cow	krava
cows	krave
deer	jelen/srna
many deer	srne
dog	pes
dogs	psi
donkey	osel
donkeys	osli
eagle	orel
eagles	orli
elephant	slon
elephants	sloni
giraffe	žirafa
giraffes	žirafe
goat	koza
goats	koze
horse	konj
horses	konji
lion	lev
lions	levi
monkey	opica
monkeys	opice
mouse	miš
mice	miši
rabbit	zajec
rabbits	zajci
snake	kača
snakes	kače
tiger	tiger
tigers	tigri
wolf	volk
wolves	volkovi
Negation	Zanikanje
he is not here	njega ni tukaj
that is not my book	to ni moja knjiga
do not enter	ne vstopaj/ne vstopajte
I don't speak	Jaz ne govorim
I don't write	Jaz ne pišem
I don't drive	Jaz ne vozim
I don't love	Jaz ne ljubim
I don't give	Jaz ne dajem
I don't smile	Jaz se ne smejim
I don't take	ne vzamem
he doesn't speak	on ne govori
he doesn't write	ne piše
he doesn't drive	on ne vozi
he doesn't love	on ne ljubi
he doesn't give	on ne daje
he doesn't smile	on se ne smeji
he doesn't take	on ne jemlje
we don't speak	mi ne govorimo
we don't write	mi ne pišemo
we don't drive	mi ne vozimo
we don't love	mi ne ljubimo
we don't give	mi ne dajemo
we don't smile	mi se ne smejimo
we don't take	mi ne jemljemo
Questions	Vprašanja
how?	kako?
what?	kaj?
who?	kdo?
why?	zakaj?
where?	kje?
where is he?	kje je on?
what is this?	kaj je to?
why are you sad?	zakaj si žalosten?
how do you want to pay?	Kako želite plačati?
can I come?	ali lahko pridem?
is he sleeping?	ali on spi?
do you know me?	me poznaš?
do you have my book?	imaš mojo knjigo?
how big is it?	kako velik je?/kako velika je?
can I help you?	Ti lahko pomagam?/Vam lahko pomagam?
can you help me?	Mi lahko pomagaš?/Mi lahko pomagate?
do you speak English?	Ali govoriš angleško?/Ali govorite angleško?
how far is this?	kako daleč je to?
what time is it?	koliko je ura?
how much is this?	koliko je to?
what is your name?	kako ti je ime?
where do you live?	kje živiš?
Pronouns	Zaimki
I	jaz
you	ti
he	on
she	ona
we	mi
they	oni/one
me	mene/me
you	tebe/te
him	njega
her	njo
us	nas
them	njim
my	moj
your	tvoj
his	njegov
her	njen
our	naš
their	njihov
mine	moje
yours	tvoje
his	njegovo
hers	njeno
ours	naše
theirs	njihovo
I speak	jaz govorim
you speak	ti govoriš
he speaks	on govori
she speaks	ona govori
we speak	mi govorimo
they speak	oni govorijo
give me	daj meni/daj mi
dam tebi/dam ti
give him	daj njemu
give her	daj njej
give us	daj nam
give them	daj njim
my book	moja knjiga
your book	tvoja knjiga
his book	njegova knjiga
her book	njena knjiga
our book	naša knjiga
their book	njihova knjiga
Verbs	Glagoli
Past	Preteklik
I spoke	govoril sem
I wrote	Pisal sem
I drove	vozil sem
I loved	ljubil sem
I gave	dal sem
I smiled	Nasmehnil sem se
I took	Vzel sem
he spoke	govoril je
he wrote	je pisal
he drove	vozil je
he loved	ljubil je
he gave	je dal
he smiled	se je nasmehnil
he took	je vzel
we spoke	smo govorili
we wrote	pisali smo
we drove	smo se vozili
we loved	ljubili smo
we gave	dali smo
we smiled	smo se nasmehnili
we took	smo vzeli
Future	Prihodnjik
I will speak	govoril bom
I will write	pisal bom
I will drive	Bom vozil
I will love	Bom ljubil
I will give	dal bom
I will smile	Se bom nasmehnil
I will take	Bom vzel
he will speak	govoril bo
he will write	on bo pisal
he will drive	on bo vozil
he will love	on bo ljubil
he will give	on bo dal
he will smile	on se bo nasmehnil
he will take	on bo vzel
we will speak	mi bomo govorili
we will write	mi bomo pisali
we will drive	mi bomo vozili
we will love	mi bomo ljubili
we will give	mi bomo dali
we will smile	mi se bomo nasmehnili
we will take	mi bomo vzeli
Present	Sedanjik
I speak	jaz govorim
I write	jaz pišem
I drive	jaz vozim
I love	jaz ljubim
I give	jaz dam
I smile	jaz se nasmehnem
I take	jaz vzamem
he speaks	on govori
he writes	on piše
he drives	on vozi
he loves	on ljubi
he gives	on daje
he smiles	on se nasmehne
he takes	on vzame
we speak	mi govorimo
we write	mi pišemo
we drive	mi vozimo
we love	mi imamo radi
we give	mi damo
we smile	mi se nasmehnemo
we take	mi vzamemo
I can accept that	jaz to lahko sprejmem
she added it	ona je to dodala
we admit it	mi priznamo
they advised him	oni so mu svetovali
I can agree with that	jaz se s tem lahko strinjam
she allows it	ona to dovoli
we announce it	mi to razglašamo
I can apologize	jaz se lahko opravičim
she appears today	ona se danes pojavi/ona se danes zdi
they arranged that	oni so to uredili
I can arrive tomorrow	jaz lahko pridem jutri
she can ask him	ona ga lahko vpraša
she attaches that	ona to priloži
we attack them	mi jih napadamo
they avoid her	oni se je izogibajo
I can bake it	jaz lahko to spečem
she is like him	ona je kot on
we beat it	mi to pretepamo
they became happy	oni so postali srečni
I can begin that	jaz lahko to začnem
we borrowed money	mi smo si izposodili denar
they breathe air	oni dihajo zrak
I can bring it	jaz lahko to prinesem
I can build that	jaz lahko to izgradim
she buys food	ona kupuje hrano
we calculate it	mi to preračunavamo
they carry it	oni to nosijo
they don't cheat	oni ne goljufajo
she chooses him	ona izbere njega
we close it	mi to zapremo
he comes here	on pride sem
I can compare that	jaz lahko to primerjam
she competes with me	ona tekmuje z mano
we complain about it	mi se pritožujemo nad tem
they continued reading	oni so nadaljevali z branjem
he cried about that	on je jokal zaradi tega
I can decide now	jaz se lahko sedaj odločim
she described it to me	ona je to meni opisala
we disagree about it	mi se o tem ne strinjamo
they disappeared quickly	oni so hitro izginili
I discovered that	jaz sem to odkril
she dislikes that	ona tega ne mara
we do it	mi to počnemo
they dream about it	oni o tem sanjajo
I earned	jaz sem zaslužil
he eats a lot	veliko poje
we enjoyed that	mi smo ob tem uživali
they entered here	oni so tu vstopili
he escaped that	on je temu pobegnil
I can explain that	jaz lahko to razložim
she feels that too	ona tudi to občuti
we fled from there	mi smo od tu zbežali
they will fly tomorrow	oni bodo jutri leteli
I can follow you	jaz ti lahko sledim
she forgot me	ona me je pozabila
we forgive him	mi mu oprostimo
I can give her that	jaz ji lahko to dam
she goes there	tja gre
we greeted them	mi smo jih pozdravili
I hate that	jaz to sovražim
I can hear it	jaz lahko to slišim
she imagine that	ona si to predstavlja
we invited them	mi smo jih povabili
I know him	jaz ga poznam
she learned it	ona se je to naučila
we leave now	mi sedaj odhajamo
they lied about him	oni so lagali o njem
I can listen to that	jaz lahko to poslušam
she lost that	ona je to izgubila
we made it yesterday	mi smo to naredili včeraj
they met him	oni so ga spoznali
I misspell that	jaz to napačno črkujem
I always pray	jaz vedno molim
she prefers that	ona ima to raje
we protected them	mi smo jih zaščitili
they will punish her	oni jo bodo kaznovali
I can put it there	jaz lahko to postavim tja
she will read it	ona bo to prebrala
we received that	mi smo to prejeli
they refuse to talk	oni ne želijo govoriti
I remember that	jaz se tega spominjam
she repeats that	ona to ponavlja
we see it	mi to vidimo
they sell it	oni to prodajajo
I sent that yesterday	jaz sem to poslal včeraj
he shaved his beard	on si je obril brado
it shrunk quickly	hitro se je skrčilo
we will sing it	mi bomo to zapeli
they sat there	oni so tam sedeli
I can speak it	jaz lahko to govorim
she spends money	ona zapravlja denar
we suffered from that	mi smo zaradi tega trpeli
they suggest that	oni so to predlagali
I surprised him	jaz sem ga presenetil
she took that	ona je to vzela
we teach it	mi to učimo
they told us	oni so nam povedali
she thanked him	ona se mu je zahvalila
I can think about it	jaz lahko o tem razmišljam
she threw it	ona je to vrgla
we understand that	mi to razumemo
they want that	oni to hočejo
I can wear it	jaz lahko to nosim
she writes that	ona to piše
we talk about it	mi o tem govorimo
they have it	oni to imajo
I watched it	jaz sem to gledal
I will talk about it	jaz bom o tem govoril
he bought that yesterday	jaz sem to kupil včeraj
we finished it	mi smo to končali
adverbs	prislovi
I read a book sometimes	Včasih berem knjigo
I will never smoke	Nikoli ne bom kadil
are you alone?	Si sam?/Ste sami?
adverbs of time	prislovi časa
yesterday	včeraj
today	danes
tomorrow	jutri
now	zdaj
then	nato
later	kasneje
tonight	nocoj
right now	takoj
last night	sinoči
this morning	to jutro
next week	naslednji teden
already	že
recently	pred kratkim
lately	zadnje čase
soon	kmalu
immediately	takoj
still	še vedno
yet	še
ago	nazaj
adverbs of place	prislovi kraja
here	tukaj
there	tam
over there	tam
everywhere	povsod
anywhere	kjerkoli
nowhere	nikjer
home	doma
away	stran
out	zunaj
adverbs of manner	prislovi načina
very	zelo
quite	precej
pretty	precej
really	res/resnično
fast	hitro
well	dobro
hard	trdo
quickly	hitro
slowly	počasi
carefully	skrbno
hardly	komaj
barely	komaj
mostly	večinoma
almost	skoraj
absolutely	povsem
together	skupaj
alone	samo
adverbs of frequency	prislovi pogostosti
always	vedno
frequently	pogosto
usually	navadno
sometimes	včasih
occasionally	občasno
seldom	redko
rarely	redko
never	nikoli
articles	členi
the	ta
a	neki
one	en
some	nekaj
few	malo
the book	knjiga (tista knjiga)
the books	te knjige
a book	knjiga (ena knjiga)
one book	ena knjiga
some books	nekaj knjig
few books	malo knjig
Food	hrana
almonds	mandlji
bread	kruh
breakfast	zajtrk
butter	maslo
candy	bonboni
cheese	sir
chicken	piščanec
cumin	kumina
dessert	sladica
dinner	večerja
fish	ribe
fruit	sadje
ice cream	sladoled
lamb	jagnje
lemon	limona
lunch	kosilo
meal	obrok
meat	meso
oven	pečica
pepper	poper
plants	rastline
pork	svinjina
salad	solata
salt	sol
sandwich	sendvič
sausage	klobasa
soup	juha
sugar	sladkor
supper	večerja
turkey	puran
apple	jabolko
banana	banana
oranges	pomaranče
peaches	breskve
peanut	arašid
pears	hruške
pineapple	ananas
grapes	grozdje
strawberries	jagode
vegetables	zelenjava
carrot	korenček
corn	koruza
cucumber	kumara
garlic	česen
lettuce	zelena solata
olives	olive
onions	čebule
peppers	paprika
potatoes	krompir
pumpkin	buča
beans	fižol
tomatoes	paradižnik
Feminine	Ženski spol
he is happy	srečen je
she is happy	srečna je
he is American	on je Američan
she is American	ona je Američanka
man	moški
woman	ženska
father	oče
mother	mati
brother	brat
sister	sestra
uncle	stric
aunt	teta
bull	bik
cow	krava
boy	fant
girl	dekle
objects	predmeti
bathroom	kopalnica
bed	postelja
bedroom	spalnica
ceiling	strop
chair	stol
clothes	oblačila
coat	plašč
cup	skodelica
desk	miza
dress	obleka
floor	tla
fork	vilice
furniture	pohištvo
glass	kozarec
hat	klobuk
house	hiša
ink	črnilo
jacket	jakna
kitchen	kuhinja
knife	nož
lamp	svetilka
letter	pismo
map	zemljevid
newspaper	časopis
notebook	zvezek
pants	hlače
paper	papir
pen	pero
pencil	svinčnik
pharmacy	lekarna
picture	slika
plate	krožnik
refrigerator	hladilnik
restaurant	restavracija
roof	streha
room	soba
rug	preproga
scissors	škarje
shampoo	šampon
shirt	srajca
shoes	čevlji
soap	milo
socks	nogavice
spoon	žlica
table	tabela
toilet	stranišče
toothbrush	zobna ščetka
toothpaste	zobna pasta
towel	brisača
umbrella	dežnik
underwear	spodnje perilo
wall	stena
wallet	denarnica
window	okno
telephone	telefon
be	biti
have	imeti
do	naredi
would	bi
will	volja
can	lahko
know	vem
see	glej
may	maja
